trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
86,1000,1,0.022940,0.022674,0.023327,0.018171,-0.001255,0.005736,-0.001586,-0.007251,-0.000808,0.000143,-0.001183,-0.001955,0.000822,-0.001029,-0.020882,-0.027658,-0.024700,-0.023044
87,1000,1,0.016232,0.018762,0.019119,0.009995,0.005162,0.004035,-0.003816,0.003349,0.005254,-0.001001,-0.000985,0.002552,-0.001125,-0.004415,-0.018999,-0.022536,-0.014344,-0.012800
88,1000,1,0.015926,0.015674,0.025927,0.014037,0.007491,0.002811,-0.004966,0.002502,0.001617,0.000001,0.000153,-0.001779,0.003978,-0.007770,-0.015138,-0.016249,-0.019040,-0.033883
89,1000,1,0.019941,0.018917,0.018767,0.017926,-0.008843,0.000195,0.005199,0.001969,-0.003209,-0.003445,-0.000951,-0.001909,0.001650,0.000135,-0.021646,-0.017931,-0.028228,-0.020313
90,1000,1,0.019332,0.024708,0.020786,0.023618,0.000352,0.002329,0.000659,0.001952,0.002040,0.000809,-0.000520,0.002997,-0.001388,-0.004031,-0.032970,-0.016972,-0.018852,-0.019799
91,1000,1,0.021772,0.027118,0.017532,0.018793,-0.001395,0.000982,-0.003316,-0.000501,0.003845,0.000491,0.001071,0.002252,-0.000043,-0.005037,-0.018823,-0.011726,-0.017945,-0.018660
92,1000,1,0.013848,0.022372,0.027555,0.017870,-0.005600,-0.001851,0.000613,0.001636,-0.000342,-0.004114,0.002030,0.004599,-0.001539,0.003348,-0.009917,-0.032402,-0.021335,-0.016236
93,1000,1,0.021983,0.015662,0.019539,0.020370,-0.001587,-0.003020,0.000579,0.001920,0.000773,0.003728,-0.005841,0.000317,0.000504,-0.003963,-0.020552,-0.015892,-0.016779,-0.026396
94,1000,1,0.024866,0.013750,0.016577,0.024627,0.002209,0.000479,-0.000580,0.001141,0.005332,-0.005865,0.001235,0.000413,0.000439,-0.004048,-0.020031,-0.019479,-0.018229,-0.016651
95,1000,1,0.014176,0.015992,0.011542,0.015476,0.007508,-0.004316,0.006218,-0.000337,0.005898,0.003153,0.006037,-0.000971,-0.003601,0.003935,-0.019937,-0.019461,-0.018622,-0.017061
96,1000,1,0.013229,0.014799,0.013994,0.016494,0.003604,0.002720,0.000810,0.003150,0.001647,-0.001886,0.003540,-0.000849,0.002816,0.000298,-0.016232,-0.019954,-0.016416,-0.017825
97,1000,1,0.013897,0.020667,0.019748,0.017091,-0.004995,-0.003456,0.008041,-0.002731,-0.000003,-0.002135,0.002380,-0.000515,0.000620,0.001549,-0.020948,-0.021248,-0.022224,-0.023963
98,1000,1,0.014716,0.011886,0.017997,0.022571,-0.001034,0.000547,-0.004080,0.003179,0.002807,0.006021,0.002029,-0.000776,-0.001196,-0.000952,-0.014566,-0.020964,-0.024636,-0.015571
99,1000,1,0.016775,0.015157,0.020281,0.018808,0.004204,-0.001510,-0.000935,-0.003829,-0.002817,-0.001672,0.001355,0.000630,-0.000250,0.001114,-0.016749,-0.015390,-0.015025,-0.019167
